"","META","META_AAPL","META_GOOG","META_MSFT","META_AMZN","AAPL","AAPL_GOOG","AAPL_MSFT","AAPL_AMZN","GOOG","GOOG_MSFT","GOOG_AMZN","MSFT","MSFT_AMZN","AMZN","horizon"
"1",1.29798578291125,1.29798578291125,1.29798578291125,1.29798578291125,1.29798578291125,1.29798578291125,1.29798578291125,1.29798578291125,1.29798578291125,1.29798578291125,1.29798578291125,1.29798578291125,1.29798578291125,1.29798578291125,1.29798578291125,1
"2",1.28913575429876,1.27151699475193,1.27555436270275,1.26394180787898,1.28490598384864,1.2561149493873,1.25983564474006,1.24982395196994,1.26706074518572,1.26360359061365,1.25336467431094,1.27112248891481,1.24428294003942,1.25934054423629,1.2807309939797,2
"3",1.28034606764646,1.24558796346502,1.25351059590248,1.23079074881795,1.27195798988419,1.21559479837704,1.2228068077893,1.20344916830615,1.23687250902683,1.23013214415221,1.21027751420139,1.24481516138105,1.19280199772342,1.22184589942138,1.26370558178323,3
"4",1.27161631152606,1.2201876822194,1.23184778319475,1.1985091860502,1.25914047281828,1.17638175913923,1.18686631499808,1.1587951234364,1.20740351983842,1.19754731888791,1.16867156973829,1.21905229395086,1.14345102708546,1.18546759156253,1.24690649709958,4
"5",1.26294607731451,1.19530536863748,1.21055934103957,1.16707431415636,1.24645211783559,1.13843366645131,1.15198217797282,1.11579796925696,1.17863664126969,1.16582562921645,1.12849592088455,1.19382261840234,1.09614190271164,1.15017238369468,1.23033073124137,5
"6",1.25433495917483,1.17093046021806,1.1896387996718,1.13646392586472,1.23389162337017,1.10170971526971,1.11812334851643,1.07439622675136,1.15055514525037,1.13494421164091,1.08970139809104,1.16911509972227,1.05079014528751,1.11592802842483,1.2139753155172,6
"7",1.2457825540372,1.14705260985263,1.16907980113491,1.10665639636279,1.22145770097195,1.06617041685281,1.08525969099419,1.03453069808531,1.12314270226323,1.10488080829286,1.05224052211976,1.1449189312796,1.00731477074444,1.08270323846926,1.19783732070004,7
"8",1.23728846158001,1.12366168143299,1.1488760973488,1.0776306680204,1.20914907517456,1.03177755629923,1.05336195551192,0.99614438196324,1.09638337184842,1.07561375088993,1.01606744593564,1.1212235300988,0.96563814564734,1.05046765806795,1.18191385650257,8
"9",1.22885228421116,1.10074774554851,1.12902154821088,1.04936623551344,1.19696448336451,0.99849415145588,1.02240175188248,0.959182392125689,1.07026159333401,1.0471219451183,0.981137898596033,1.09801853223109,0.9256858485656,1.01919183525014,1.16620207105952,9
"10",1.22047362704945,1.0783010752711,1.10951011973008,1.02184313133783,1.18490267565166,0.966284413151604,0.992351524357413,0.923591878870739,1.0447621767874,1.01938485542896,0.947409131069057,1.0752937882214,0.887386537179695,0.988847194925603,1.15069915041694,10
